Nominate,ServiceName,AltServiceName,Provider,Audience,InternalWeightage,Summary,Description,FunctionalGroup,Environment,Language,UsageMethod,SupportLevel,Documentation,Keywords,Status,Version,UseCases,Email,Phone,ContactDetails,AltContactMethod,AltContactLink,Prerequisites,Comments,DateAdded,LastUpdated,Reviewed,DataIssues,ReviewedBy,Controller,Classification,CMRA,IM,Data,STRA,Risk,Cybersecurity,Considerations
,Identity and access management strategy,Identity and access management strategy,Justice Digital,Justice Digital,-20,A highly available cloud-hosted instance under a single Justice Digital realm to make access more streamlined.,"All Justice Digital services are using a highly available cloud-hosted instance under a single Justice Digital realm. This will help reduce disruptions in access to Justice Digital services and enable external users such as lawyers to use multiple Justice Digital services with a single account, making access more streamlined.",Was removed,"AWS, Keycloak","Angular, .NET Core, IaC using CDK",Resource (Environment),,Documentation https://goa-dio.atlassian.net/l/cp/2mv1hUmh,"Cloud,IAM",Live,,,JSG.PlatformSupport@gov.ab.ca ,,,,,,,10/1/2023,10/1/2023,,,,,,No,No,,No,No,Required,
,Income validation API,Income validation,Platforms - Common Data Services,,10,Verification of the applicant's personal and family income to access eligibility for a program.,"Assess the eligibility of an Albertan to apply for a Government of Alberta program that necessitates verification of the applicant's personal income and/or family income under a specific threshold. The use of data for this assessment requires a MOU with CRA and the Department of Treasury Board and Finance, as well as a privacy assessment.",Finance,On Prem,.NET Core,API,TBD,,,Alpha,,,TI.CDS@gov.ab.ca,,,,,,,10/1/2023,10/1/2023,,,,"Executive Director, Platforms, DDD",,No,No,,No,No,Required,MOU is required between the  data business owner and the program area.
,Keycloak client,Keycloak client npm package,"Seniors, Community and Social Services (SCSS)",,10,Privately hosted Keycloak client npm package.,,User management,,Angular,,,Instructions and additional information https://github.com/GovAlta-EMU/keycloak-auth-service,Keycloak,,,,wei.w.wei@gov.ab.ca,,Privately hosted npm package,GitHub,https://github.com/GovAlta-EMU/keycloak-auth-service,,,10/1/2023,10/1/2023,,,,"Joel Agustin, Risk Reduction Education Specialist, Public Safety and Emergency Services",Protected B,No,No,,Completed,No,Required,
,Keycloak integration with DIG,Keycloak integration with DIG,Wildfire Platform,,10,Pattern to integrate authentication with Alberta.ca MADI-B and GoA Azure AD through DIG.,Pattern to integrate authentication with Alberta.ca MADI-B and GoA Azure AD though DIG. Keycloak delegates authentication to external IdP but handles user authorization and generate access_token,User management,,,,,Confluence documentation https://goa-dio.atlassian.net/wiki/spaces/WDS/pages/2777055233/AutN+AuthZ+Options,Keycloak,,,," vassy.serban@gov.ab.ca 
",,,,,Have a Keycloak realm available ,,10/1/2023,10/1/2023,,,,,,No,No,,n/a,n/a,n/a,
,MyAlberta digital ID for business (MADI-B),MyAlberta digital ID for business (MADI-B),Platforms - IAM,,10,IAM platform for federated sign on and identity verification for citizens accessing online services.,,User management,"On Prem, NCC and JJB datacentres",ForgeRock,,24x7,,IAM,Live,,,GOA.IAM@gov.ab .ca,,Onboarding and integrations are handled via scheduled consultations. Can reach out to Robert Salloum or Syed Hashmi for further details,Web,https://business.account.alberta.ca,,,10/1/2023,10/1/2023,,,,"Executive Director, Platforms, DDD",Protected A,No,No,,Completed,No,No,
Yes,Nagios monitoring service,Enterprise monitoring and alerting,Service Integration,GOA,100,GoA's primary enterprise monitoring service with monitoring and alerting options.,This enterprise monitoring service has a wide degree of monitoring and alerting options that can be setup for your needs.  This is the primary monitoring platform used within GoA.,Performance,"On Prem, NCC and JJB datacentres","API, Python, PowerShell, Bash,Perl, .NET",Service,Hybrid,,"Nagios, Monitoring",Live,,,dutyao@gov.ab.ca,,"This can be requested via a generic BERNIE request.
Assign to SA:Monitoring Support_ASGN group.",BERNIE,Generic request https://goaprod.service-now.com/esm?id=search&spa=1&q=Generic%20request,,The BERNIE service catalog is under construction to add documentation. (April 2024),10/1/2023,4/16/2024,,Grace Li replied to the contact request. Was not aware of this project. There is no documentation at this time,Grace Li,"Director, Integration Services, TSO",,No,No,,No,No,No,
,Notification service,Text and email notifications,Alberta Digital Service Platform (ADSP),,10,Customizable templates and automated text and email notifications.,"Enable text or email notifications in your application through the ADSP Notification Service.  Build customizable templates and use these to send personalized messages to your users upon the occurrence of specific ""domain events"" in your application, such as receiving approval for a submission, or reminders to take some action.",Communication,,,,Hybrid,https://subscription.adsp.alberta.ca/,,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/1/2023,,,,"Director, Integration Services, TSO",,No,No,,No,No,No,
,Notifications,Message bus interface,"Seniors, Community and Social Services (SCSS)",,10,Message bus interface to AB Notify.,,Communication,GoA Network,TypeScript,,,,,,,,wei.w.wei@gov.ab.ca,,,,,,,10/1/2023,10/1/2023,,,,,,No,No,,No,No,Required,
,OAuth BFF flow implementation,OAuth for browser apps,Wildfire Platform,,-20,"Guidebook containing threats, attack consequences, security considerations, and best practices for developing browser-based apps that use OAuth 2.0","This specification details the threats, attack consequences, security considerations and best practices that must be taken into account when developing browser-based applications that use OAuth 2.0.",Was removed,,.NET Core,,,"https://goa-dio.atlassian.net/wiki/spaces/WDS/pages/2758869310/Admin+RestAPI+request+flow

Pattern to implement OAuth BFF Proxy flow https://datatracker.ietf.org/doc/html/draft-ietf-oauth-browser-based-apps#name-backend-for-frontend-bff-pr",,,,," vassy.serban@gov.ab.ca 
",,,,,"The implementation is using BFF Duende framework, license might be required",,10/1/2023,10/1/2023,,,,,,No,No,,n/a,n/a,n/a,
Yes,Payment gateway service,Payment gateway,Service Integration,GOA,100,Payment gateway service offering a centralized electronic payment experience.,"The Payment Gateway Service (PGS) offers a centralized electronic payment experience with the GoA using the TD Online Mart online payments solution. This standardized approach has many advantages over direct integration with current payment providers, such as:  

Application insulation from organizational change. When the payment provider changes, the application code does not. Consequently, PGS can seamlessly manage a new payment provider without manual intervention. 
Business areas no longer have to complete the Payment Card Industry Self-Assessment Questionnaire (PCI SAQ) A type audits. ",Finance,,,Service,Hybrid,https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/Payment-Gateway-Service.aspx,Payment,Live,,,,,Advanced request required through the Service Integration SharePoint site; click the 'Service Integration Consultation' Request web form.,BERNIE,Service Integration Consultation https://goaprod.service-now.com/esm?id=search&spa=1&q=Service%20Integration%20Consultation,Business area will require a merchant account for their transactions.  This can be obtained through TBF merchant services (the process to obtain a merchant account is documented as part of the onboarding procedures),,10/1/2023,3/26/2024,Yes,,Sanchit,,,No,No,,No,No,No,SARTR Merchant Services engagement required before use merchantservices@gov.ab.ca 
,Payment guide,TD Bambora for payments,Justice Digital,Justice Digital,10,"TD Bambora, a recommended payment solution for service teams within Justice Digital.",,Finance,"AWS, Wordline (Bambora)",,,,https://goa-dio.atlassian.net/wiki/spaces/JD/pages/2233827335/Payment+Guide,Payment,Live,,,JSG.PlatformSupport@gov.ab.ca ,,,,,,,10/1/2023,10/1/2023,Yes,,Sanchit,,,n/a,n/a,,n/a,n/a,n/a,SARTR Merchant Services engagement required before use merchantservices@gov.ab.ca 
,PDF generation & merging,PDF generation & merging,Justice Digital,,10,PDF generation and merging functionality using Justice Digital's consistent architecture.,,Forms and documents,AWS,"Angular, .NET Core, TypeScript",,,https://goa-dio.atlassian.net/wiki/spaces/JDP/pages/2248015997/Shared+Services,"Pdf, Digital signature, Digital certification",Live,,,JSG.PlatformSupport@gov.ab.ca ,,,,,,,10/1/2023,10/1/2023,,,,,,No,Required,,No,No,No,May require consult with CMO - forms
,PDF service,GoA branded PDFs,Alberta Digital Service Platform (ADSP),,10,"Create customized GoA branded PDF documents for end users, securely managed using Azure Blob storage.","Provides the capability for creating customized PDF documents for downloading by end users. By utilizing our editor to create templates and combining them with intake data, developers can easily create GOA branded PDFs.  The documents are uploaded to Azure Blob storage and can be managed there securely, throughout their lifecycle, with the ADSP file service.",Forms and documents,,,Service,Hybrid,https://govalta.github.io/adsp-monorepo/services/pdf-service.html,Pdf,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/1/2023,,,,"Executive Director, Software Delivery, DDD",,No,Required,,No,No,No,May require consult with CMO - forms
,Program and provider registry,Programs and providers registry,Advanced Education,,10,"Programs, providers, specializations, session, and cost information of private and public institutions within Alberta.",Interface is utilized by Advanced Education line of business applications to read centrally managed Public/Private institution information along with Program information,Data,GoA Network,.NET,API,,,,Live,,,sa.imehelpdesk@gov.ab.ca,,Through consultation,,,,Legacy shared service that may not always be suitable for digitally redesigned services.,10/1/2023,10/1/2023,,,,"Director, Data Mgmt and Governance, Adv Education",,No,No,,No,No,No,
,Push service,Push mode gateway,Alberta Digital Service Platform (ADSP),,10,Push mode gateway​ for events enabling clients to receive information without polling.,"Provides a push mode gateway​ to events emitted in the event service, so clients can receive information without the need for polling.  Use it to monitor event streams, such as submissions received or payments made, to create a responsive, real-time web application.",Automation,,,Service,Hybrid,https://govalta.github.io/adsp-monorepo/services/push-service.html,,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/1/2023,,,,"Executive Director, Software Delivery, DDD",,No,No,,No,No,No,
Yes,QR code service,QR codes as digital signatures,Service Integration,GOA,100,Create digital signatures as QR codes confirming authenticity of GoA's digital and printed documents.,"Provides confirmation of the authenticity of digital and printed documents claimed as issued under the authority of GoA - Government of Alberta. Allows the user to create digital signatures in a form of QR (Quick Response) Code images which can then be verified by using this application or the third party solutions, like mobile or desktop custom applications.​",Forms and documents,,,Service,Hybrid,https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/QR-Code-Service.aspx,"QR Code, Digital",Live,,,,,"Advanced request required through the Service Integration SharePoint site; click the ""Request QR Code Service"" link to access the 'QR Code Service' web form.
",BERNIE,QR Code (API) Service https://bernie.gov.ab.ca/esm?id=sc_cat_item&sys_id=d894805f1b623d901738eb17ec4bcb15,"Users will need to submit a request to the Service Integration Team via BERNIE for ""QR Code (API) Service"" to request this service. ",,10/1/2023,3/26/2024,,,,"Director, Integration Services, TSO",,No,No,,No,No,No,IMP consult re: electronic signatures may be requested.
Yes,Request an enterprise API,Enterprise API,Service Integration,GOA,-20,Creating and maintaining enterprise APIs.,"The Service Integration team is responsible for creating and maintaining Enterprise APIs.  If there is a service you think would benefit the enterprise, contact the team and they might be able to create the capability you require.",Was removed,,,Resource,Hybrid,Services that are offered https://abgov.sharepoint.com/sites/S500D27-SI969,"Development, Enterprise",,,,,,Users are to contact the Service Integration Team via BERNIE to request this service.,BERNIE,Service Integration Consultation https://goaprod.service-now.com/esm?id=search&spa=1&q=Service%20Integration%20Consultation,,,10/1/2023,3/26/2024,,,,"Director, Integration Services, TSO",,n/a,n/a,,n/a,n/a,n/a,
,Script service,Script and algorithmic modifications,Alberta Digital Service Platform (ADSP),,10,Implement algorithmic changes without redeploying applications.,"Gives developers the ability to quickly implement algorithmic changes requested by clients, such as policy changes, without having to redeploy the application.  This is particularly useful for calculations that are changed frequently, or for multi-tenant applications that handle calculations on a per-tenant basis.",Automation,,,Service,Hybrid,,,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/1/2023,,,,"Executive Director, Software Delivery, DDD",,No,Required,,No,No,No,IMP Consult re: log management may be requested.
,SCSS Angular components,,"Seniors, Community and Social Services (SCSS)",,-20,Common Angular UI components,,Was removed,,Angular,Code,,,Inspiration,Deprecated,,,wei.w.wei@gov.ab.ca,,,,,,"Inspiration could be taken for the design library, not for use and being internally deprecated inside SCSS",10/1/2023,10/1/2023,,,,,,No,No,,No,No,No,
Yes,SharePoint online service,ECM connector (SharePoint),Service Integration,GOA,100,ECM connector for basic file management of project-specific content within ECM systems for OpenText.,"The Electronic Content Management (ECM) Connector is a representational state transfer (REST) application programming interface (API) that allows file management of Government of Alberta (GoA) content within ECM systems (e.g. file creation, modification, metadata, etc.).

The ECM Connector takes REST calls and translates them into a format that is understood by the proprietary Open Text LIVELINK web services (LAPI) running on the GoA’s OpenText Enterprise Content Servers (ECSS) server. ",Forms and documents,,,Service,Hybrid,https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/ECM-Connector-Service.aspx,"SharePoint Online, ECM, REST",Live,,,,,Users are to contact the Service Integration Team via BERNIE to request this service.,BERNIE,Service Integration Consultation https://goaprod.service-now.com/esm?id=search&spa=1&q=Service%20Integration%20Consultation,,,10/1/2023,3/26/2024,,,,Corporate CIO,n/a,Completed,Required,,Completed,No,No,"IMP, CCS, CMO"
,SIN validation service,SIN validation,Advanced Education,,10,Enables sending SIN and profile information to federal government for match and validation purposes.,Process of batching and sending SIN and tombstone profile information to federal government for match and validation purposes,User management,GoA Network,.NET,API,Hybrid,,,Live,,,AE-OCSDSFSAMSTeam@gov.ab.ca ,,,,,Utilization for Federal SIN Service requires business coordination and agreements to be put in place. This service is a bit coupled with Student Finance System but is used by Apprenticeship and Student Aid (potentially Foundational Learning will be added in the future),Legacy shared service that may not always be suitable for digitally redesigned services.,10/1/2023,10/1/2023,,,,"Director, Business and System Integration, Adv Education",,No,No,,No,No,Required,
,SMS gateway,SMS gateway,Advanced Education,,10,Gateway for sending text messages.,A gateway for sending text messages. It interfaces with the SWIFT SMS vendor.,Communication,GoA Network,.NET,API,,,,Live,,,sa.imehelpdesk@gov.ab.ca,,Through consultation,,,,Legacy shared service that may not always be suitable for digitally redesigned services.,10/1/2023,10/1/2023,,,,n/a,Ptorected B,No,No,,Completed,No,No,
Yes,Splunk service,Log/event based service monitoring,Service Integration,GOA,100,"Splunk as an event management and correlation software for a holistic view of a service through dashboards, reports, and alerts.","Splunk is an advanced and scalable form of software that indexes and searches for log files within a system and analyzes data for operational intelligence. A web-based software platform using real-time processing and provides the Government of Alberta (GoA) business areas with 5 main functions:
 - collect and index,
 - search and investigate,
 - add knowledge,
 - report and visualize,
 - monitor and alert,
on machine data, websites, applications, within the GoA infrastructure. ",Performance,,,Service,Hybrid,https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/Splunk-Service.aspx,Reporting,Live,,,,,Advanced request required through the Service Integration SharePoint site; click the 'Service Integration Consultation' Request web form.,BERNIE,Splunk Service https://abgov.sharepoint.com/sites/S500D27-SI969/SitePages/Splunk-Service.aspx ,"Users will need to submit a request to the Service Integration Team via BERNIE for ""Splunk Service"" to request this service. ",,10/1/2023,3/26/2024,,,,"Executive Director, Business System Operations, TSO",Protected A,No,Required,,Completed,No,No,IMP Consult re: log management may be requested.
,Stakeholder registry,Student and staff directory,Advanced Education,,10,"People records containing information of schools, staff, and students utilized by Advanced Education.",Interface is utilized by Advanced Education line of business applications to read centrally managed student/learner information,Data,GoA Network,.NET,API,,,,Live,,,sa.imehelpdesk@gov.ab.ca,,Through consultation,,,,Legacy shared service that may not always be suitable for digitally redesigned services.,10/1/2023,10/1/2023,,,,"Executive Director, Planning, Data and
Performance, Advanced Education",Protected B,No,No,,Completed,No,Required,
,Stamping shared service,Official court stamps,Justice Digital,,10, Court stamps for filing and certification of digital documents.,"Justice Digital services utilizing the stamping shared services benefit from a consistent application of official court stamps, indicating filing and certification of documents in the digital context.",Forms and documents,AWS,"Angular, .NET Core, TypeScript",,,https://goa-dio.atlassian.net/wiki/spaces/JDP/pages/2248015997/Shared+Services,"Pdf, Digital signature, Stamping, Digital certification",Live,,,JSG.PlatformSupport@gov.ab.ca ,,,,,,,10/1/2023,10/1/2023,,,,,,No,Required,,No,No,No,
,Status service,Application health monitoring,Alberta Digital Service Platform (ADSP),,10,Monitoring the health of applications and services.,"A service for monitoring the health of applications and other services.  You provide a URL for it to ping and it will notify you, or a webhook, if the response occurs in a timely manner or not.  Additionally, the service provides links to a static web page your users can visit to check on your application's status.  You can configure this page to display status updates and notices for planned maintenance or other outages.",Performance,,,Service,Hybrid,https://status.adsp.alberta.ca/,,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/1/2023,,,,"Executive Director, Software Delivery, DDD",,No,No,,No,No,No,
,Support model,Application support model,Justice Digital,,-20,A robust application support model to ensure operational issues are dealt with while ensuring an open line for direct customer feedback.,"Maintaining high-quality services requires a robust application support model to ensure both operational issues are dealt with; as well as to ensure an open line for direct customer feedback. As our services evolve and our user base continues to expand, an integrated support model will allow JD to continue to improve its service delivery capabilities.",Was removed,ServiceNow,,Resource,,https://goa-dio.atlassian.net/wiki/spaces/JDP/pages/2247983316/Support+Model,Support,Live,,,JSG.PlatformSupport@gov.ab.ca ,,,,,,,10/1/2023,10/1/2023,,,,,,No,No,,n/a,n/a,n/a,
,Unified Alberta.ca account,Unified Alberta.ca account,Platforms - IAM,,10,"IAM platform to unify Alberta.ca Account and MADI-B, and other IAM systems in the GoA over time.","An IAM platform that will be used to unify Alberta.ca Account and MADI-B, as well as other IAM systems in the GoA over time.

Will enable multiple types of users under one common IAM solution, including citizen, external businesses and organizations and their staff, and internal GoA staff ",User management,"Azure, On Prem",".NET, Open source",,24x7,,IAM,Alpha,,,GOA.IAM@gov.ab .ca,,Onboarding and integrations are handled via scheduled consultations. Can reach out to Robert Salloum or Syed Hashmi for further details,,,,,10/1/2023,2/28/2024,,,,"Executive Director, Platforms, DDD",n/a,No,No,,Completed,No,No,
,Value service,Event and activity logs storage,Alberta Digital Service Platform (ADSP),,10,"Temporal-based data store for event, change, and audit logs.","Provides a temporal-based data store that is useful for storing such things as event, change, and audit logs.  In addition, it can be used to aggregate KPI's over some time interval by including metrics along with each entry.  For example, it has been used to log events along with a count metric, and therefore can be used to show how many events are emitted per unit of time.",Data,,,Service,Hybrid,https://govalta.github.io/adsp-monorepo/services/value-service.html,,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/1/2023,,,,"Executive Director, Software Delivery, DDD",,No,Required,,No,No,No,IMP Consult re: log management may be requested.
,Verify service,Verification codes generator,Alberta Digital Service Platform (ADSP),,10,Time restricted random codes for verification and user access.,"Verify service provides time limited random codes that can be used for validation purposes. For example, generated codes can be sent to a user by email and requested from an application to verify user access to the email inbox.",User management,,,Service,Hybrid,,,Live,,,adsp@gov.ab.ca ,,,Slack,https://goa-dio.slack.com/channels/adsp-connection,Product teams can get started by accessing an existing tenant or creating a new tenant. Each tenant represents a zone of administrative control and generally products within a common service area can share a tenant.,,10/1/2023,10/15/2023,,,,"Executive Director, Software Delivery, DDD",n/a,No,No,,Completed,No,No,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
